"market","ticker","name","dividend_yield_pct","fvtpl_twd_million","fvtpl_assets_pct","evidence_tier"
"TPEx","4123","晟德",7.39,14519.42,60.58,"secondary-finmind"
"TWSE","2820","華票",5.29,160980.938,58.96,"official-openapi"
"TWSE","3356","奇偶",5.87,1899.132,54.93,"secondary-finmind"
"TWSE","3257","虹冠電",5.86,1241.942,52.51,"secondary-finmind"
"TWSE","5515","建國",6.33,5451.761,42.51,"secondary-finmind"
"TPEx","4167","松瑞藥",7.85,1742.344,33.74,"secondary-finmind"
"TPEx","4754","國碳科",5.97,324.405,30.64,"secondary-finmind"
"TWSE","3014","聯陽",6.54,3364.55,30.45,"secondary-finmind"
"TWSE","1608","華榮",5.46,6080.83,30.39,"official-xbrl"
"TPEx","8435","鉅邁",5.99,414.171,29.43,"secondary-finmind"
"TPEx","4735","豪展",5.46,448.689,24.87,"official-xbrl"
"TPEx","4303","信立",14.03,1193.341,24.38,"secondary-finmind"
"TPEx","6016","康和證",6.07,25508.366,23.9,"secondary-finmind"
"TWSE","4441","振大環球",6.17,2338.752,23.62,"secondary-finmind"
"TWSE","6005","群益證",5.24,115719.847,21.99,"official-xbrl"
"TPEx","4933","友輝",5.41,1116.645,21.55,"official-xbrl"
"TPEx","7819","精誠金融",5.04,165.165,21.35,"secondary-finmind"
"TWSE","9927","泰銘",7.19,1389.747,20.6,"secondary-finmind"
"TWSE","9905","大華",5.14,2692.31,20.51,"official-xbrl"
"TPEx","5212","凌網",9.09,229.643,19.07,"secondary-finmind"
"TWSE","2031","新光鋼",5.57,5865.819,18.81,"official-xbrl"
"TPEx","5878","台名",6.29,115.419,15.66,"secondary-finmind"
"TPEx","6026","福邦證",8.86,2580.074,14.84,"secondary-finmind"
"TWSE","2707","晶華",6.04,1301.758,13.52,"secondary-finmind"
"TPEx","5520","力泰",8.51,623.127,13.12,"secondary-finmind"
"TWSE","2458","義隆",5.42,2098.055,12.46,"official-xbrl"
"TPEx","4702","中美實",5.33,202.602,12.4,"official-xbrl"
"TWSE","5203","訊連",6.52,744.767,12.24,"secondary-finmind"
"TWSE","6951","青新-創",7.46,204.211,11.94,"secondary-finmind"
"TWSE","2852","第一保",5.92,2269.163,11.3,"official-openapi"
"TPEx","5312","寶島科",7.09,1100.168,11.03,"secondary-finmind"
"TPEx","5315","光聯",8.7,250.304,10.93,"secondary-finmind"
"TWSE","1423","利華",10.11,414.937,10.4,"secondary-finmind"
"TWSE","1102","亞泥",6.53,34603.436,10.26,"official-xbrl"
"TPEx","6577","勁豐",6.23,261.17,10.02,"secondary-finmind"
"TWSE","5706","鳳凰",10.12,354.726,9.89,"secondary-finmind"
"TPEx","6123","上奇",8.28,399.509,9.47,"secondary-finmind"
"TPEx","3684","榮昌",5.13,136.486,9.35,"official-xbrl"
"TWSE","3622","洋華",6.45,855.893,9.19,"secondary-finmind"
"TWSE","6165","浪凡",10.5,264.484,8.72,"secondary-finmind"
"TWSE","9935","慶豐富",6.15,793.399,8.72,"secondary-finmind"
"TPEx","6996","力領科技",5.9,300.154,8.66,"secondary-finmind"
"TWSE","2832","台產",6.03,2141.462,8.16,"official-openapi"
"TPEx","5287","數字",8.23,374.391,8.11,"secondary-finmind"
"TWSE","2114","鑫永銓",5.57,313.3,7.88,"secondary-finmind"
"TWSE","2459","敦吉",6.35,760.599,7.83,"secondary-finmind"
"TWSE","4746","台耀",6.59,1087.714,7.82,"secondary-finmind"
"TWSE","1109","信大",6.67,896.113,7.79,"official-xbrl"
"TPEx","4205","中華食",5.05,214.325,7.48,"secondary-finmind"
"TPEx","1294","漢田生技",9.35,89.994,7.33,"secondary-finmind"
"TWSE","2385","群光",6.82,8029.085,7.28,"official-xbrl"
